,loss,mean_absolute_error,epoch
0,54.0363655090332,5.759140491485596,0
1,54.0363655090332,5.759140491485596,0
0,50.64352035522461,5.64456033706665,1
1,50.64352035522461,5.64456033706665,1
0,43.4173583984375,6.0162882804870605,2
1,43.4173583984375,6.0162882804870605,2
0,27.06097984313965,4.600910663604736,3
1,27.06097984313965,4.600910663604736,3
0,35.11389923095703,4.183523654937744,4
1,35.11389923095703,4.183523654937744,4
0,29.27032470703125,4.360287666320801,5
1,29.27032470703125,4.360287666320801,5
0,29.493515014648438,4.918424129486084,6
1,29.493515014648438,4.918424129486084,6
0,28.630483627319336,4.790440559387207,7
1,28.630483627319336,4.790440559387207,7
0,23.718217849731445,4.2572760581970215,8
1,23.718217849731445,4.2572760581970215,8
0,31.467164993286133,4.619500637054443,9
1,31.467164993286133,4.619500637054443,9
